Scientific name	Lat	Lng	Date	Id	Geoprivacy	Quality grade
Stachys grandidentata	-33.55768297	-70.398149	2021-10-16	98665376	None	research
Adiantum chilense sulphureum	-33.55767	-70.398212	2021-10-16	98664535	None	research
Madia sativa	-33.56597697	-70.396906	2021-10-16	98664166	None	needs_id
Oxalis arenaria	-33.566271	-70.397108	2021-10-16	98663880	None	research
Calceolaria corymbosa	-33.58084397	-70.396381	2021-10-16	98663351	None	research
Stellaria chilensis	-33.580969	-70.396376	2021-10-16	98663013	None	research
Tanacetum parthenium	-33.55716531	-70.39798918	2020-12-20	93152284	None	needs_id
Medicago sativa	-33.55697577	-70.39777139	2020-12-20	93152166	open	needs_id
Tanacetum parthenium	-33.55451928	-70.39791749	2020-12-20	93047913	None	needs_id
Eccremocarpus scaber	-33.57021693	-70.39415815	2020-11-11	81179139	None	research
Macromphalia	-33.58132011	-70.39448556	2021-04-18	74372077	None	needs_id
Liolaemus chiliensis	-33.5738571	-70.40113997	2021-02-06	71767265	open	research
Crataegus monogyna	-33.57127676	-70.39798885	2021-03-04	71044016	None	research
Abrothrix longipilis	-33.58132195	-70.39457392	2021-03-06	70666065	open	research
Liolaemus chiliensis	-33.58124402	-70.39432682	2021-03-04	70560999	open	research
Sicarius thomisoides	-33.57324562	-70.40055122	2021-02-06	70443464	None	research
Grammostola	-33.58152613	-70.39461885	2020-12-17	66731539	None	needs_id
Liolaemus lemniscatus	-33.58139736	-70.39448708	2020-12-06	66622548	None	research
Liolaemus chiliensis	-33.56925593	-70.39716294	2020-02-02	64067461	None	research
Rhopospina fruticeti	-33.58140435	-70.39464902	2020-10-18	63476823	open	research
Liolaemus chiliensis	-33.58125044	-70.39474625	2020-10-16	62768582	open	research
Polythysana	-33.58218057	-70.39423127	2020-10-06	61959444	None	needs_id
Astylus trifasciatus	-33.58128632	-70.39441488	2020-08-31	58175898	None	research
Stereum	-33.56772474	-70.39873356	2013-07-15	57251454	None	needs_id
Phymatioderus bizonatus	-33.58123898	-70.39460301	2020-07-30	54844220	None	research
Liolaemus tenuis	-33.57406109	-70.40069701	2020-02-02	52440492	open	research
Hyles euphorbiarum	-33.56534393	-70.39737641	2016-11-06	52171243	None	needs_id
Anairetes parulus	-33.58047379	-70.39644194	2020-06-27	51128971	open	needs_id
Anyphaenidae	-33.56340241	-70.39453933	2019-08-02	47661947	None	needs_id
Jolivetia obscura	-33.56446999	-70.39299404	2019-08-02	47661945	None	research
Cnemalobus	-33.5655892	-70.39653178	2012-12-01	47583595	None	needs_id
Chloraea	-33.56333611	-70.39572778	2014-10-05	46974010	None	needs_id
Chloraea gavilu	-33.5633	-70.39584444	2014-10-05	46974006	None	needs_id
