Scientific name,Lat,Lng,Date,Id,Geoprivacy,Quality grade
Liolaemus monticola,-33.5378489,-70.4029403,2021-06-03,104460694,open,research
Stenoparedra,-33.5378489,-70.4029403,2021-06-03,104460652,None,research
Alstroemeria ligtu simsii,-33.5378489,-70.4029403,2021-06-03,104460651,None,research
Liolaemus monticola,-33.5378489,-70.4029403,2021-06-03,104460452,open,research
Erythranthe lutea,-33.57331916,-70.40068298,2020-12-26,103763466,None,research
Gunnera tinctoria,-33.57340855,-70.40064006,2020-12-26,103763465,None,research
Liolaemus tenuis,-33.57351582,-70.40059715,2020-12-26,103763464,None,research
Liolaemus tenuis,-33.57353106,-70.40064006,2020-12-26,103763463,None,research
Alstroemeria ligtu simsii,-33.5518862,-70.39961848,2021-11-26,103059356,None,research
Liolaemus lemniscatus,-33.58522488,-70.36541617,2021-10-22,102080726,None,research
Polistes buyssoni,-33.55733826,-70.39775292,2020-12-20,101318168,None,research
Alstroemeria ligtu simsii,-33.57977833,-70.39716333,2021-11-14,101166689,None,research
Calendyma chiliensis,-33.57451167,-70.39868,2021-11-14,101166208,None,research
Liolaemus monticola,-33.56576167,-70.3963,2021-11-14,101166158,open,research
Chaetanthera multicaulis,-33.560895,-70.39663667,2021-11-14,101166104,None,research
Liolaemus lemniscatus,-33.57370333,-70.40031333,2021-11-14,101166038,None,research
Pachodynerus gayi,-33.55020833,-70.39987167,2021-11-14,101165776,None,research
Lasionota rouletii confusa,-33.550225,-70.39985,2021-11-14,101165620,None,research
Puya alpestris zoellneri,-33.5456247,-70.39978431,2021-11-14,101165467,None,research
Malamblia melas,-33.55587771,-70.3981601,2020-12-20,100998149,None,research
Solanum furcatum,-33.5598793,-70.38576508,2021-11-12,100956481,None,research
Leucocoryne ixioides,-33.57877136,-70.39445353,2021-11-07,100531084,None,research
Alstroemeria ligtu simsii,-33.57807653,-70.3937769,2021-11-07,100530668,None,research
Pasithea caerulea,-33.57789112,-70.39373025,2021-11-07,100530599,None,research
Tropaeolum tricolor,-33.579205,-70.39768333,2021-08-09,100016574,None,research
Calceolaria corymbosa,-33.58088667,-70.39640833,2021-10-20,100015284,None,research
Callopistes maculatus,-33.55298667,-70.397775,2021-10-21,99951275,None,research
Leucocoryne ixioides,-33.57681333,-70.3982,2021-10-20,99950949,None,research
Alonsoa meridionalis,-33.57691167,-70.3982,2021-10-20,99950886,None,research
Solenomelus pedunculatus,-33.57708333,-70.39811667,2021-10-20,99950848,None,research
Stachys grandidentata,-33.57664167,-70.3982,2021-10-20,99950755,None,research
Pasithea caerulea,-33.55723833,-70.39759667,2021-10-20,99949311,None,research
Triptiloides randallae,-33.5778,-70.3847,2021-10-24,99354847,None,research
Stachys grandidentata,-33.5769,-70.3919,2021-10-25,99354845,None,research
Calceolaria corymbosa,-33.580115,-70.393506,2021-10-24,99354842,None,research
Stachys grandidentata,-33.577025,-70.398225,2021-10-24,99347161,None,research
Loasa placei,-33.5657,-70.3971,2021-10-24,99347159,None,research
Calceolaria corymbosa,-33.58083333,-70.39646111,2021-10-24,99347156,None,research
Pasithea caerulea,-33.5657,-70.3971,2021-10-24,99347155,None,research
Podanthus mitiqui,-33.5657,-70.3971,2021-10-24,99347153,None,research
Porlieria chilensis,-33.58772,-70.36653833,2021-10-23,99277641,None,research
Porlieria chilensis,-33.58758667,-70.36643333,2021-10-23,99265241,None,research
Sanicula crassicaulis crassicaulis,-33.58718667,-70.366455,2021-10-23,99264419,None,research
Aristotelia chilensis,-33.58729167,-70.36621167,2021-10-23,99264038,None,research
Escallonia pulverulenta,-33.58733,-70.36634667,2021-10-23,99263991,open,research
Leucheria tenuis,-33.58734167,-70.36665333,2021-10-23,99260878,None,research
Loasa triloba,-33.58724667,-70.36659167,2021-10-23,99259768,None,research
Adiantum chilense sulphureum,-33.58743667,-70.36650833,2021-10-23,99259178,None,research
Cystopteris fragilis apiiformis,-33.587445,-70.36643333,2021-10-23,99259106,None,research
Cryptocarya alba,-33.58745333,-70.366455,2021-10-23,99259013,open,research
Kageneckia oblonga,-33.587375,-70.36640833,2021-10-23,99258865,open,research
Alstroemeria ligtu,-33.58732,-70.36617167,2021-10-23,99258789,None,research
Tatochila mercedis mercedis,-33.58653667,-70.36607167,2021-10-23,99258549,None,research
Stachys albicaulis,-33.58541333,-70.36550333,2021-10-23,99247197,None,research
Cheilanthes hypoleuca,-33.58534667,-70.36550333,2021-10-23,99245772,None,research
Calceolaria thyrsiflora,-33.58538833,-70.36543333,2021-10-23,99245672,None,research
Escallonia revoluta,-33.58721161,-70.36650085,2021-10-23,99160214,open,research
Calceolaria thyrsiflora,-33.58542633,-70.36561584,2021-10-23,99159769,None,research
Kageneckia oblonga,-33.5870286,-70.36609301,2021-10-23,99156697,open,research
Cestrum parqui,-33.57234297,-70.39821297,2021-10-16,98665553,open,research
Stachys grandidentata,-33.55768297,-70.398149,2021-10-16,98665376,None,research
Adiantum chilense sulphureum,-33.55767,-70.398212,2021-10-16,98664535,None,research
Oxalis arenaria,-33.566271,-70.397108,2021-10-16,98663880,None,research
Aristotelia chilensis,-33.57739697,-70.397018,2021-10-16,98663553,None,research
Calceolaria corymbosa,-33.58084397,-70.396381,2021-10-16,98663351,None,research
Stellaria chilensis,-33.580969,-70.396376,2021-10-16,98663013,None,research
Eccremocarpus scaber,-33.58083597,-70.396325,2021-10-16,98662782,None,research
Liolaemus tenuis,-33.56732345,-70.34475853,2021-10-03,98237497,None,research
Liolaemus tenuis,-33.56748917,-70.34535016,2021-10-03,98237143,None,research
Liolaemus chiliensis,-33.5828225,-70.38368765,2021-10-09,97717520,None,research
Maytenus boaria,-33.58473009,-70.38309211,2021-08-28,93216285,None,research
Stereum hirsutum,-33.58566435,-70.38320802,2021-08-28,93118667,None,research
Ephedra chilensis,-33.57524555,-70.39389862,2020-12-20,93035638,open,research
Eccremocarpus scaber,-33.57781918,-70.41013286,2016-09-10,92295625,None,research
Cinclodes patagonicus,-33.57562889,-70.40338957,2021-08-05,90216649,open,research
Eccremocarpus scaber,-33.57021693,-70.39415815,2020-11-11,81179139,None,research
Abrothrix longipilis,-33.5814739,-70.39459672,2021-04-21,74922705,open,research
Ormiscodes amphimone,-33.5876332,-70.3913065,2021-04-18,74371755,None,research
Liolaemus chiliensis,-33.58132898,-70.39437239,2021-03-27,72164977,open,research
Liolaemus chiliensis,-33.5738571,-70.40113997,2021-02-06,71767265,open,research
Crataegus monogyna,-33.57127676,-70.39798885,2021-03-04,71044016,None,research
Abrothrix longipilis,-33.58132195,-70.39457392,2021-03-06,70666065,open,research
Liolaemus chiliensis,-33.58124402,-70.39432682,2021-03-04,70560999,open,research
Abrothrix longipilis,-33.58138507,-70.39458834,2021-03-04,70554428,open,research
Rhinella spinulosa,-33.58009712,-70.40684201,2021-03-04,70553457,None,research
Steatoda triangulosa,-33.55171428,-70.40080988,2021-03-02,70476767,None,research
Sicarius thomisoides,-33.57324562,-70.40055122,2021-02-06,70443464,None,research
Hermetia illucens,-33.55839944,-70.41486343,2021-02-26,70207638,None,research
Trichocereus chiloensis chiloensis,-33.53305994,-70.40678831,2020-10-01,70014866,None,research
Syntrichia ruralis,-33.58431815,-70.36443394,2021-02-15,69638616,None,research
